Corpus,Document variant,Query format,Configuration,Nominal tier,Max tokens,Baseline MRR@10,Corrected MRR@10,dMRR@10,nominal subgroup,benchmark response group,agrees with benchmark response group,measured sign,retains assignment
er_reason,full512,keyword,BGE-base,1,512,0.8004,0.7364,-0.064,harmed,harmed,yes,negative,yes
er_reason,full512,keyword,BioLORD-2023,1,512,0.6796,0.5312,-0.1484,harmed,harmed,yes,negative,yes
er_reason,full512,keyword,GTE-base,1,512,0.8058,0.7397,-0.0661,harmed,harmed,yes,negative,yes
er_reason,full512,keyword,MedCPT,1,512,0.775,0.5892,-0.1858,harmed,harmed,yes,negative,yes
er_reason,full512,keyword,Nomic-embed-text,1,512,0.7837,0.7232,-0.0605,harmed,harmed,yes,negative,yes
er_reason,full512,keyword,Nomic-embed-text-nopfx,1,512,0.7853,0.686,-0.0993,harmed,harmed,yes,negative,yes
er_reason,full512,keyword,BERT-base-uncased,2,512,0.0765,0.1682,0.0916,benefited,benefited,yes,positive,yes
er_reason,full512,keyword,BioBERT,2,512,0.1499,0.2763,0.1264,benefited,benefited,yes,positive,yes
er_reason,full512,keyword,BioMistral-7B,2,512,0.1815,0.3329,0.1514,benefited,benefited,yes,positive,yes
er_reason,full512,keyword,ClinicalBERT,2,512,0.1673,0.2476,0.0803,benefited,benefited,yes,positive,yes
er_reason,full512,keyword,E5-Mistral-7B,2,512,0.5783,0.4387,-0.1396,benefited,benefited,no,negative,no
er_reason,full512,keyword,E5-Mistral-7B-ablation,2,512,0.5243,0.6355,0.1112,benefited,harmed,no,positive,yes
er_reason,full512,keyword,Phi-3-mini,2,512,0.3068,0.5893,0.2824,benefited,benefited,yes,positive,yes
er_reason,full512,nl,BGE-base,1,512,0.8497,0.7956,-0.0541,harmed,harmed,yes,negative,yes
er_reason,full512,nl,BioLORD-2023,1,512,0.7901,0.6104,-0.1796,harmed,harmed,yes,negative,yes
er_reason,full512,nl,GTE-base,1,512,0.8595,0.7893,-0.0702,harmed,harmed,yes,negative,yes
er_reason,full512,nl,MedCPT,1,512,0.7652,0.5594,-0.2058,harmed,harmed,yes,negative,yes
er_reason,full512,nl,Nomic-embed-text,1,512,0.8808,0.7557,-0.1252,harmed,harmed,yes,negative,yes
er_reason,full512,nl,Nomic-embed-text-nopfx,1,512,0.8584,0.7162,-0.1422,harmed,harmed,yes,negative,yes
er_reason,full512,nl,BERT-base-uncased,2,512,0.0656,0.1509,0.0854,benefited,benefited,yes,positive,yes
er_reason,full512,nl,BioBERT,2,512,0.0522,0.227,0.1748,benefited,benefited,yes,positive,yes
er_reason,full512,nl,BioMistral-7B,2,512,0.1288,0.3329,0.2041,benefited,benefited,yes,positive,yes
er_reason,full512,nl,ClinicalBERT,2,512,0.1862,0.2486,0.0624,benefited,benefited,yes,positive,yes
er_reason,full512,nl,E5-Mistral-7B,2,512,0.5641,0.4659,-0.0982,benefited,benefited,no,negative,no
er_reason,full512,nl,E5-Mistral-7B-ablation,2,512,0.4545,0.7133,0.2589,benefited,harmed,no,positive,yes
er_reason,full512,nl,Phi-3-mini,2,512,0.2549,0.6099,0.355,benefited,benefited,yes,positive,yes
mimic_discharge,full512,keyword,BGE-base,1,512,0.7928,0.6622,-0.1306,harmed,harmed,yes,negative,yes
mimic_discharge,full512,keyword,BioLORD-2023,1,512,0.6183,0.4431,-0.1752,harmed,harmed,yes,negative,yes
mimic_discharge,full512,keyword,GTE-base,1,512,0.826,0.7332,-0.0929,harmed,harmed,yes,negative,yes
mimic_discharge,full512,keyword,MedCPT,1,512,0.7758,0.6014,-0.1744,harmed,harmed,yes,negative,yes
mimic_discharge,full512,keyword,Nomic-embed-text,1,512,0.7446,0.7072,-0.0375,harmed,harmed,yes,negative,yes
mimic_discharge,full512,keyword,Nomic-embed-text-nopfx,1,512,0.7355,0.637,-0.0985,harmed,harmed,yes,negative,yes
mimic_discharge,full512,keyword,BERT-base-uncased,2,512,0.1182,0.2007,0.0826,benefited,benefited,yes,positive,yes
mimic_discharge,full512,keyword,BioBERT,2,512,0.1732,0.2559,0.0827,benefited,benefited,yes,positive,yes
mimic_discharge,full512,keyword,BioMistral-7B,2,512,0.2684,0.2985,0.0302,benefited,benefited,yes,positive,yes
mimic_discharge,full512,keyword,ClinicalBERT,2,512,0.2714,0.3629,0.0915,benefited,benefited,yes,positive,yes
mimic_discharge,full512,keyword,E5-Mistral-7B,2,512,0.5371,0.4305,-0.1065,benefited,benefited,no,negative,no
mimic_discharge,full512,keyword,E5-Mistral-7B-ablation,2,512,0.4671,0.512,0.0449,benefited,harmed,no,positive,yes
mimic_discharge,full512,keyword,Phi-3-mini,2,512,0.3155,0.4927,0.1773,benefited,benefited,yes,positive,yes
mimic_discharge,full512,nl,BGE-base,1,512,0.8715,0.6736,-0.1979,harmed,harmed,yes,negative,yes
mimic_discharge,full512,nl,BioLORD-2023,1,512,0.7321,0.4644,-0.2677,harmed,harmed,yes,negative,yes
mimic_discharge,full512,nl,GTE-base,1,512,0.8737,0.7479,-0.1258,harmed,harmed,yes,negative,yes
mimic_discharge,full512,nl,MedCPT,1,512,0.6996,0.4858,-0.2138,harmed,harmed,yes,negative,yes
mimic_discharge,full512,nl,Nomic-embed-text,1,512,0.7972,0.6773,-0.1199,harmed,harmed,yes,negative,yes
mimic_discharge,full512,nl,Nomic-embed-text-nopfx,1,512,0.7952,0.5895,-0.2057,harmed,harmed,yes,negative,yes
mimic_discharge,full512,nl,BERT-base-uncased,2,512,0.092,0.1384,0.0464,benefited,benefited,yes,positive,yes
