Canonical ID,System,Source frame,Reported operational encoder/retriever,Interface class,Reported pooling,Inferred extraction/representation,Basis for inference,Primary-source evidence,Extraction step established,Superseded coding rationale,Coding stability,Core tier,Expanded tier,Adversarial tier,Confidence,Confirmed affected,Rung 1: no assumptions,Rung 2: contrastive training implies non-membership,Rung 3: vendor claims accepted,Rung 4: non-dense excluded,Audit note,Primary source URL,Review/source URL
A01,Abdullahi / CliniqIR,Amugongo,"ClinicalBERT, PubMedBERT, SciBERT, SapBERT, CODER, MedCPT; selected MedCPT + BM25",self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,coded unaffected,"Operational dense component is MedCPT, a retrieval-trained biomedical encoder.",,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A04,Aratesh,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service used for retrieval.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A05,Azimi / RAP,Amugongo,Amazon Titan Text Embeddings V2,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service used for retrieval.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A06,Benfenati,Amugongo,GTE,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,GTE is trained as a general text retriever/embedding model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A07,Bora & Cuayáhuitl,Amugongo,gtr-t5-large,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,GTR is trained for text retrieval.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A09,Chen [22],Amugongo,all-MiniLM-L6-v2,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Sentence-transformer checkpoint trained for similarity/retrieval.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A12,Fukushima / JGCLLM,Amugongo,GLuCoSE-base-ja,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,Contrastive sentence-embedding model.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A14,Garcia,Amugongo,BGE,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,coded unaffected,coded unaffected,coded unaffected,BGE is retrieval/contrastive-trained.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A15,Ge,Amugongo,OpenAI text-embedding-ada-002,commercial interface,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,Moderate,no,unknown,unknown,coded unaffected,coded unaffected,Dedicated embedding service.,,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
A17,Guo / RALL,Amugongo,Dense Passage Retriever with fine-tuned query encoder,self-hosted checkpoint,not reported as such,,,,,,stable across frames,Tier 1,Tier 1,Tier 1,High,no,unknown,coded unaffected,coded unaffected,coded unaffected,Primary paper uses DPR and fine-tunes the query encoder; not bare BERT.,https://doi.org/10.1016/j.jbi.2023.104580,https://journals.plos.org/digitalhealth/article?id=10.1371/journal.pdig.0000877
